[GAME_INFO],,,,,,,,,,,,,,,,
date,2025.08.01(금),,,,,,,,,,,,,,,
awayTeam,Florian T-Shirts,,,,,,,,,,,,,,,
homeTeam,Nyanko Avengers,,,,,,,,,,,,,,,
awayRecord,1승 3패,,,,,,,,,,,,,,,
homeRecord,2승 2패,,,,,,,,,,,,,,,
location,구장:WBD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[SCORE_BY_INNING],,,,,,,,,,,,,,,,
TEAM,1,2,3,4,5,6,7,8,9,R,H,E,B,,,
awayTeam,152,0,2,24,1,24,0,0,0,4,9,2,5,,,
homeTeam,3,2,2,24,1,0,0,0,-,8,9,0,8,,,
,,,,,,,,,,,,,,,,
[AWAY_BATTING],,,,,,,,,,,,,,,,
타순,포지션,선수명,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율
1,중,강강강,삼진,삼진,,삼진,,2루,,,,4,0,0,0,0.208
,타,약약약,,,,,,,유볼,,,1,0,0,0,0.286
2,좌,중중중,삼진,,4구,우안,,2루,,유볼,,4,1,0,0,0.293
3,지,한석연,좌안,,4구,1타,,2직,,,,3,1,0,2,0.346
4,일,안진산,2루,,우볼2,,좌플,,뜬땅,,,4,3,2,2,0.395
5,우,김범준,우안,,사구,,포파,,우안,,,3,2,1,0,0.247
6,삼,도태훈,4구,,2루,,유비,,2볼,,,3,0,0,0,0.356
7,이,박인우,,,,,,,,,,0,0,0,0,0.233
8,포,신민우,,4구,,좌비,,유비,,3루,,3,0,0,0,0.314
9,유,김길태,,유볼,,2볼,,1직,,,,3,0,0,0,0.17
,대타,고승업,,,,,,,뜬땅,,,1,1,0,0,0.353
,sag,gd,,dg,,dg,,gd,,,dg,,dg,,dg,
,dg,dg,,dg,,dg,,dgd,,,,,gd,,,dg
,,,,,,,,,,,TOTAL,33,9,4,4,0.281
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[HOME_BATTING],,,,,,,,,,,,,,,,
타순,포지션,선수명,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율
1,중,도도도,삼진,4구,우안,,좌안,,출타,,,4,2,2,1,0.237
2,이,레레레,좌안,4구,2루,,좌안,,1루,,,4,2,0,2,0.427
3,우,미미미,4구,3루,,출비,삼진,,우비,,,4,0,1,1,0.335
4,삼,파파파,우안,우볼안,,1타,,3루,,,,4,2,2,1,0.405
5,포,솔솔솔,4구,2루,,3실,,우비,,,,3,0,0,0,0.353
6,일,라라라,4구,,좌안,3볼,,삼진,,,,3,1,0,1,0.304
7,좌,시시시,좌안,,4구,,삼진,,좌비,,,3,1,1,1,0.225
8,유,도도도,2볼,,포칸,,좌비,,4구,,,3,1,0,0,0.364
9,지,정순원,2루,,2루,,,,,,,2,0,1,0,0.27
,대타,전대흠,,,,,4구,,출타,,,1,0,0,1,0.333
,,,,,,,,,,,TOTAL,31,9,7,124,0.319
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
[AWAY_PITCHING],,,,,,,,,,,,,,,,
선수명,등판,결과,승,패,세,이닝,타자,투수,타수,피안타,피홈런,4사구,삼진,실점,자책,평균자책점
김태경,선발,패,0,3,0, 1/3,7,37,4,3,0,3,1,3,3,5.68
박박박,1.8,,5,2,0,1 2/3,7,26,5,1,0,2,0,2,1,5.66
쵀최최,3.6,,0,0,0,1,6,23,5,3,0,1,0,2,2,6
김김김ㄱ,4.3,,5,1,0,1,4,15,4,0,0,0,0,0,0,2.73
ㅂ가박바,5.7,,0,1,0,1,6,27,5,2,0,1,2,1,1,9
비지,6.4,,1,0,2,1,3,17,3,0,0,0,1,0,0,3.63
서서,7.7,,0,1,0,1,3,13,2,0,0,1,0,0,0,6
ㅂ기믹ㅁ,8.1,,0,1,4,1,3,11,3,0,0,0,0,0,0,3.38
,,,,,TOTAL,8,39,169,31,9,0,8,4,8,7,5.66
,,,,,,,,,,,,,,,,
[HOME_PITCHING],,,,,,,,,,,,,,,,
선수명,등판,결과,승,패,세,이닝,타자,투수,타수,피안타,피홈런,4사구,삼진,실점,자책,평균자책점
고고고,선발,,0,1,0,2 2/3,16,66,11,5,0,5,3,3,3,11.88
김김ㄱ,3.8,승,2,0,0,2 1/3,9,33,9,2,1,0,2,1,1,10.26
잉지이,6.8,,2,0,0,1,3,15,3,0,0,0,0,0,0,7.08
김도ㅗㅇ,7.2,,1,2,0,1,3,6,3,0,0,0,0,0,0,4.35
호호홍 ,8.5,,6,0,1,1,4,10,4,1,0,0,1,0,0,4.47
이이,9.9,,5,2,9,1,3,8,3,1,0,0,0,0,0,4.43
,,,,,TOTAL,9,38,138,33,9,1,5,6,4,4,5.53
,,,,,,,,,,,,,,,,
[Records],,,,,,,,,,,,,,,,
결승타,,,,,,,,,,,,,,,,
홈런,,,,,,,,,,,,,,,,
2루타,안인산(3회),,,,,,,,,,,,,,,
실책,김범준(1회) 한재환(4회),,,,,,,,,,,,,,,
도루,,,,,,,,,,,,,,,,
도루사,,,,,,,,,,,,,,,,
병살타,신민우(2회),,,,,,,,,,,,,,,
포일,,,,,,,,,,,,,,,,
폭투,,,,,,,,,,,,,,,,
심판,,,,,,,,,,,,,,,,
