Name,타이틀조건,경기수,타율,타석,타수,안타,1루타,2루타,3루타,홈런,타점,득점,도루,볼넷,삼진,출루율,장타율,OPS,IsoP,wOBA,wRC+,wRC,FPCT,고의사구,몸에 맞는 공,희생 번트,희생플라이,병살타,도루실패,실책,풋아웃,어시스트,개인 아웃카운트,wOBAScale,RpO,runBB,runHBP,run1B,run2B,run3B,runHR,runMinus,runPlus,신인 대상자
DoYaGee,TRUE,4,0.133,16,15,2,0,1,1,0,1,1,0,0,3,0.188,0.333,0.521,0.2,0.224,96.41,1.762,1,0,1,0,0,0,0,0,12,1,13,,,,,,,,,,,FALSE
TaeGeuk_,TRUE,3,0.2,10,10,2,2,0,0,0,1,3,3,0,1,0.2,0.2,0.4,0,0.177,50.13,0.916,0.933,0,0,0,0,0,0,1,13,1,8,,,,,,,,,,,FALSE
HANA_ARASHI,TRUE,4,0.417,12,12,5,1,1,0,3,3,4,1,0,0,0.417,1.25,1.667,0.833,0.697,194.43,3.554,1,0,0,0,0,0,0,0,4,6,7,,,,,,,,,,,FALSE
ByeolBam,TRUE,4,0.353,17,17,6,4,2,0,0,1,3,0,0,1,0.353,0.471,0.824,0.118,0.356,150.91,2.758,1,0,0,0,0,0,0,0,27,4,11,,,,,,,,,,,FALSE
오띵__,TRUE,4,0.385,16,13,5,3,1,1,0,1,6,3,0,3,0.5,0.615,1.115,0.231,0.48,184.47,3.372,1,0,3,0,0,0,0,0,13,3,8,,,,,,,,,,,FALSE
Apple_Sherbet,TRUE,4,0.333,19,18,6,2,1,0,3,14,6,2,1,1,0.368,0.889,1.257,0.556,0.523,236.73,4.327,0.909,0,0,0,0,0,0,1,7,3,12,,,,,,,,,,,FALSE
Dοpi,TRUE,4,0.267,16,15,4,3,1,0,0,2,2,3,1,4,0.313,0.333,0.646,0.067,0.288,118.36,2.163,1,0,0,0,0,0,0,0,10,5,11,,,,,,,,,,,FALSE
신과함께1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,FALSE
_강 도_,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,FALSE
Gonyong,TRUE,4,0.313,16,16,5,3,2,0,0,0,2,1,0,1,0.313,0.438,0.75,0.125,0.323,130.67,2.388,1,0,0,0,0,0,0,0,7,0,11,,,,,,,,,,,FALSE
Slaris,TRUE,4,0.25,16,16,4,2,0,0,2,7,5,6,0,1,0.25,0.625,0.875,0.375,0.37,146.56,2.679,1,0,0,0,0,0,0,0,4,1,12,,,,,,,,,,,FALSE
Kr_Luna,TRUE,4,0.688,18,16,11,2,4,0,5,9,6,0,1,0,0.722,1.875,2.597,1.188,1.052,429.43,7.849,0.96,1,1,0,0,0,0,1,17,7,5,,,,,,,,,,,FALSE
muyang_,TRUE,4,0.357,17,14,5,5,0,0,0,3,4,3,0,4,0.471,0.357,0.828,0,0.387,162.14,2.964,1,0,3,0,0,0,1,0,6,5,10,,,,,,,,,,,FALSE
Espressο,TRUE,4,0.25,14,12,3,2,1,0,0,1,2,3,1,2,0.357,0.333,0.69,0.083,0.317,112.42,2.055,0.75,0,1,0,0,1,0,3,7,2,10,,,,,,,,,,,FALSE
포 메 라 니 안,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,FALSE
눈꽃,TRUE,4,0.214,16,14,3,2,0,0,1,1,3,0,0,1,0.313,0.429,0.741,0.214,0.33,132.95,2.43,0.879,0,2,0,0,0,0,4,20,9,11,,,,,,,,,,,FALSE
겆붕이 a049,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,TRUE
yun_x,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,FALSE
Pring__,TRUE,3,0.4,10,10,4,1,2,0,1,1,1,0,0,2,0.4,0.9,1.3,0.5,0.548,129.97,2.376,1,0,0,0,0,0,0,0,2,7,6,,,,,,,,,,,FALSE
Yaksok~,TRUE,4,0.267,15,15,4,0,3,0,1,4,3,0,0,4,0.267,0.667,0.933,0.4,0.39,144.12,2.634,1,0,0,0,0,0,0,0,6,0,11,,,,,,,,,,,FALSE
ときめき,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,FALSE
장덕춘_,TRUE,4,0.286,14,14,4,1,1,1,1,1,2,1,0,4,0.286,0.714,1,0.429,0.416,142.12,2.598,0.929,0,0,0,0,0,0,2,18,8,10,,,,,,,,,,,FALSE
인생최패망자,TRUE,4,0.188,17,16,3,3,0,0,0,1,1,0,1,2,0.235,0.188,0.423,0,0.197,92.44,1.69,1,0,0,0,0,0,0,0,4,10,13,,,,,,,,,,,FALSE
murumuru0219,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,TRUE
SOM_candy,TRUE,4,0.308,13,13,4,3,0,1,0,3,3,0,0,1,0.308,0.462,0.769,0.154,0.327,107.23,1.96,1,0,0,0,0,0,0,0,0,6,9,,,,,,,,,,,FALSE
Floră,TRUE,4,0.333,15,15,5,4,1,0,0,2,5,3,0,0,0.333,0.4,0.733,0.067,0.32,121.35,2.218,1,0,0,0,0,0,0,0,1,8,10,,,,,,,,,,,FALSE
-라후이-,TRUE,4,0.412,17,17,7,6,0,1,0,0,1,0,0,1,0.412,0.529,0.941,0.118,0.406,169.13,3.091,0.929,0,0,0,0,0,1,1,5,8,11,,,,,,,,,,,FALSE
소솨소솨,TRUE,3,0.091,11,11,1,1,0,0,0,0,1,0,0,2,0.091,0.091,0.182,0,0.08,32.31,0.591,1,0,0,0,0,0,0,0,8,4,10,,,,,,,,,,,TRUE
ChoiKatz,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,TRUE
k@ster,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,TRUE
mungjungh,TRUE,4,0,16,15,0,0,0,0,0,0,1,2,1,10,0.063,0,0.063,0,0.043,34.16,0.624,0.25,0,0,0,0,0,0,3,1,0,15,,,,,,,,,,,FALSE
-Alta-,TRUE,4,0.333,18,18,6,4,1,0,1,2,5,5,0,1,0.333,0.556,0.889,0.222,0.382,169.57,3.099,0.929,0,0,0,0,0,0,1,8,5,12,,,,,,,,,,,FALSE
_앰프_,TRUE,4,0.067,15,15,1,0,1,0,0,1,2,3,0,5,0.067,0.133,0.2,0.067,0.084,45.26,0.827,0.929,0,0,0,0,0,0,2,17,9,14,,,,,,,,,,,TRUE
encounter v,TRUE,4,0.278,18,18,5,4,0,0,1,1,3,0,0,2,0.278,0.444,0.722,0.167,0.312,142.43,2.603,1,0,0,0,0,0,0,0,6,5,13,,,,,,,,,,,TRUE
magimari,TRUE,3,0.222,9,9,2,2,0,0,0,0,0,1,0,0,0.222,0.222,0.444,0,0.196,48.92,0.894,1,0,0,0,0,0,0,0,7,1,7,,,,,,,,,,,TRUE
Pugeuk,FALSE,2,0.143,7,7,1,1,0,0,0,0,1,1,0,1,0.143,0.143,0.286,0,0.126,27.48,0.502,1,0,0,0,0,0,0,0,1,2,6,,,,,,,,,,,TRUE
Riyaj,TRUE,3,0,10,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12.08,0.221,1,0,0,0,0,0,0,0,15,0,10,,,,,,,,,,,TRUE
WhiteMountain,TRUE,4,0.2,15,15,3,1,1,0,1,2,2,0,0,0,0.2,0.467,0.667,0.267,0.281,108.87,1.99,1,0,0,0,0,1,0,0,11,0,13,,,,,,,,,,,TRUE
HalF_HearteD,FALSE,2,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.04,0.11,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,TRUE
wiger-tiger,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,TRUE
ke ro,TRUE,4,0.077,14,13,1,1,0,0,0,0,2,2,0,2,0.143,0.077,0.22,0,0.115,51.43,0.94,1,0,1,0,0,0,0,0,3,2,12,,,,,,,,,,,FALSE
하루（Haru）,TRUE,4,0.5,15,14,7,4,2,0,1,4,5,0,1,1,0.533,0.857,1.39,0.357,0.588,207.91,3.8,0.973,0,0,0,0,0,0,1,34,2,7,,,,,,,,,,,TRUE
