Name,타이틀조건,경기수,평균자책점,이닝,아웃카운트,승,패,세이브,홀드,QS,탈삼진,피안타,피홈런,실점,자책점,볼넷,사구,폭투,ERA+,WHIP,K/9,B/9,K/BB,K%,BB%,승률,승리경기,패배경기,상대 타자수
Espressο,TRUE,1,1.5,6,18,1,0,0,0,1,6,6,0,1,1,0,0,0,315.789,1,9,0,0,0.25,0,1,1,0,24
TaeGeuk_,TRUE,1,6.23,4.33,13,0,0,0,0,0,3,6,1,3,3,0,2,0,76.023,1.385,6.231,0,0,0.143,0,0,0,0,21
_강 도_,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple_Sherbet,TRUE,2,7.56,8.33,25,0,0,0,0,0,9,12,1,7,7,0,0,0,62.657,1.44,9.72,0,0,0.237,0,0,0,0,38
HANA_ARASHI,FALSE,1,27,1.67,5,0,1,0,0,0,1,6,1,5,5,0,0,0,17.544,3.6,5.4,0,0,0.1,0,0,0,1,10
Pring__,FALSE,2,0,1.33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
포 메 라 니 안,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yun_x,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonyong,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaksok~,FALSE,1,13.5,0.67,2,0,0,0,0,0,1,4,0,5,1,0,1,2,35.088,6,13.5,0,0,0.125,0,0,0,0,8
Riyaj,FALSE,1,0,2.67,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,9
눈꽃,TRUE,1,0,4,12,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0.5,4.5,0,0,0.125,0,0,0,0,16
Kr_Luna,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhiteMountain,TRUE,1,4.26,6.33,19,0,0,0,0,1,3,6,1,3,3,0,0,0,111.111,0.947,4.263,0,0,0.12,0,0,0,0,25
-라후이-,TRUE,2,5.14,7,21,0,1,0,0,0,4,11,1,5,4,0,0,0,92.105,1.571,5.143,0,0,0.133,0,0,0,1,30
DoYaGee,FALSE,1,6.75,2.67,8,0,0,0,0,0,2,2,2,2,2,0,1,0,70.175,0.75,6.75,0,0,0.182,0,0,0,0,11
ときめき,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인생최패망자,TRUE,1,7.5,6,18,0,1,0,0,0,3,10,1,5,5,0,0,2,63.158,1.667,4.5,0,0,0.115,0,0,0,1,26
HalF_HearteD,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encounter v,TRUE,2,1.23,7.33,22,1,0,0,0,1,2,5,0,1,1,1,2,0,385.965,0.818,2.455,1.227,2,0.071,0.036,1,1,0,28
Floră,TRUE,2,1.5,6,18,0,0,1,0,0,5,3,0,1,1,0,0,0,315.789,0.5,7.5,0,0,0.263,0,0,0,0,19
Chunsik03,TRUE,2,2.08,8.67,26,2,0,0,0,1,2,8,2,2,2,0,0,0,228.07,0.923,2.077,0,0,0.059,0,1,2,0,34
_Chun,TRUE,2,4.76,5.67,17,0,1,1,0,0,1,9,2,9,3,1,1,0,99.415,1.765,1.588,1.588,1,0.034,0.034,0,0,1,29
muyang_,FALSE,1,3.86,2.33,7,1,0,0,0,0,0,4,0,1,1,0,0,1,122.807,1.714,0,0,0,0,0,1,1,0,11
편하비_,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slaris,FALSE,2,3.86,2.33,7,1,0,0,0,0,0,4,0,1,1,0,1,1,122.807,1.714,0,0,0,0,0,1,1,0,11
Sabo_10,TRUE,1,0,3,9,0,0,0,0,0,3,3,0,1,0,0,0,1,0,1,9,0,0,0.273,0,0,0,0,11
レビノア,TRUE,1,12,3,9,0,0,0,0,0,0,5,1,5,4,1,0,0,39.474,2,0,3,0,0,0.071,0,0,0,14
Roscosmos,FALSE,1,5.4,1.67,5,1,0,0,0,0,3,3,1,1,1,0,0,0,87.719,1.8,16.2,0,0,0.333,0,1,1,0,9
甲斐野柊太,TRUE,2,8.22,7.67,23,0,1,0,0,0,7,12,2,9,7,2,0,0,57.644,1.826,8.217,2.348,3.5,0.189,0.054,0,0,1,37
ゆっち一,TRUE,1,0,6,18,0,0,0,0,1,6,5,0,3,0,0,0,1,0,0.833,9,0,0,0.25,0,0,0,0,24
