분류,기록 명,일자,닉네임,비고
투수 기록,1호 선발투수,07월 18일,"Chunsik03, 인생최패망자",LEROLEROS vs BUBBLE STARS
투수 기록,1호 QS,07월 18일,Chunsik03 (BUBBLE STARS),6이닝 2자책점
투수 기록,1호 승리투수,07월 18일,Chunsik03 (BUBBLE STARS),선발등판 및 6이닝 2실점
투수 기록,1호 홀드,,,
투수 기록,1호 세이브,07월 18일,_Chun (BUBBLE STARS),7회 등판 및 3이닝 무실점
투수 기록,1호 퍼펙트 게임,,,
투수 기록,1호 완봉승,07월 27일,Floră (FLORIAN T-SHIRTS),47구 5회 완봉 10 : 0
투수 기록,1호 탈삼진,07월 18일,Chunsik03 (BUBBLE STARS),2회초 7번타자 상대
투수 기록,1호 폭투,07월 18일,인생최패망자 (LEROLEROS),3회말 3번타자 상대
투수 기록,1호 피안타,07월 18일,Chunsik03 (BUBBLE STARS),1회초 1번타자 상대 5구째
투수 기록,1호 피홈런,07월 18일,Chunsik03 (BUBBLE STARS),1회초 1번타자 상대 5구째
투수 기록,1호 피볼넷,07월 18일,甲斐野柊太 (Ishikawa Fighting Folks),1회초 3번타자 5구째
투수 기록,1호 용병투수,07월 18일,Kenomo (Ishikawa Fighting Folks),
타자 기록,1호 사이클링 히트,07월 26일,장덕춘_ (BUBBLE STARS),2 > 3 > 1 > 홈런 / 최소타수 4타수
타자 기록,1호 안타 및 출루,07월 18일,Kr_Luna (LEROLEROS),1회초 1번타자 5구째
타자 기록,1호 2루타,07월 18일,Gonyong (BUBBLE STARS),3회말 2번타자 3구째
타자 기록,1호 3루타,07월 18일,Sabo_10 (MoonShot Spirits),5회초 5번타자 초구
타자 기록,1호 도루,07월 18일,D_arling (BUBBLE STARS),4회말 8번타자 타석 초구
타자 기록,1호 더블 스틸,07월 27일,FLORIAN T-SHIRTS,3회말 5번타자 초구
타자 기록,1호 볼넷,07월 18일,Espressο (MoonShot Spirits),1회초 3번타자 5구째
타자 기록,1호 고의사구,07월 27일,Kr_Luna (LEROLEROS),3회말 4번타자
타자 기록,1호 몸에 맞는 볼,07월 18일,눈꽃 (MoonShot Spirits),6회초 4번타자 초구
타자 기록,1호 헤드샷(?),07월 27일,오띵__ (FLORIAN T-SHIRTS),5회말 1번타자 초구
타자 기록,1호 타점,07월 18일,Kr_Luna (LEROLEROS),1회초 1번타자 5구째
타자 기록,1호 홈런,07월 18일,Kr_Luna (LEROLEROS),1회초 1번타자 5구째
타자 기록,1호 만루홈런,,,
타자 기록,1호 끝내기 및 끝내기 안타,07월 26일,눈꽃 (MoonShot Spirits),9회말 4번타자 2구째
타자 기록,1호 끝내기 홈런,07월 26일,눈꽃 (MoonShot Spirits),9회말 4번타자 2구째
타자 기록,1호 홈보살,,,
타자 기록,1호 아웃,07월 18일,#NAME?,1회초 2번타자 3구째 우익수 플라이
타자 기록,1호 삼진,07월 18일,HalF_HearteD (LEROLEROS),2회초 7번타자 5구째
타자 기록,1호 병살타,07월 18일,SFIDA (Ishikawa Fighting Folks),7회말 7번타자 초구
타자 기록,1호 실책,07월 18일,,
타자 기록,1호 용병타자,07월 18일,Kenomo (Ishikawa Fighting Folks),
타자 기록,썸머시즌 최장거리 홈런,07월 25일,Apple_Sherbet(FLORIAN T-SHIRTS),2회말 1번타자 3구 142M
팀 기록,1호 연장전,,,
팀 기록,1호 우천취소,,,
팀 기록,1호 몰수패,,,
팀 기록,1호 무박 2일 경기,07월 20일,FLORIAN T-SHIRTS vs MoonShot Spirits,07/21 00:30 종료
팀 기록,1호 무실점 콜드게임 승리(???),07월 27일,FLORIAN T-SHIRTS,5회 10 : 0 콜드 승
