Name,Group,Index,Team,Title,AB,H,HR,SB,AVG,OBP,SLG,wRC+,ERA,IP,K,WHIP,ERA+
-¶óÈÄÀÌ-,Team,109,1,,13,5,0,0,0.385,0.385,0.538,169.359,5.14,7,4,1.571,92.105
¼Ò¼Ý¼Ò¼Ý,Team,143,1,,11,1,0,0,0.091,0.091,0.091,47.965,,,,,
ÀÎ»ýÃÖÆÐ¸ÁÀÚ,Team,120,1,,12,2,0,0,0.167,0.231,0.167,95.571,7.5,6,3,1.667,63.158
ByeolBam,Team,105,1,È¨·±¿Õ/Å¸Á¡¿Õ,13,5,0,0,0.385,0.385,0.462,159.998,,,,,
encounter v,Team,,1,,13,5,1,0,0.385,0.385,0.615,182.327,1.23,7.33,2,0.818,385.965
HalF_HearteD,Team,133,1,,5,0,0,0,0,0,0,10.739,0,0,0,0,0
Kr_Luna,Team,106,1,ÃÖ¿ì¼ö Å¸ÀÚ,14,9,4,0,0.643,0.643,1.714,411.1,0,0,0,0,0
Riyaj,Team,132,1,,6,0,0,0,0,0,0,12.887,0,2.67,0,0.375,0
Chunsik03,Team,126,2,,5,0,0,0,0,0,0,10.739,2.08,8.67,2,0.923,228.07
_Chun,Team,144,2,,6,5,0,0,0.833,0.833,1,144.963,4.76,5.67,1,1.765,99.415
Àå´öÃá_,Team,118,2,,10,0,0,0,0,0,0,21.478,,,,,
coder_,Team,,2,,12,3,0,0,0.25,0.25,0.333,109.172,,,,,
DoYaGee,Team,113,2,¾ÈÅ¸¿Õ/Æò±ÕÀÚÃ¥Á¡¿Õ,11,2,0,0,0.182,0.25,0.455,124.398,6.75,2.67,2,0.75,70.175
SOM_candy,Team,127,2,,10,3,0,0,0.3,0.3,0.3,94.496,,,,,
WhiteMountain,Team,,2,,11,3,1,0,0.273,0.273,0.636,139.733,4.26,6.33,3,0.947,111.111
Yaksok~,Team,134,2,½ÅÀÎ¿Õ/µµ·ç¿Õ,11,4,1,0,0.364,0.364,0.909,184.832,13.5,0.67,1,6,35.088
Sabo_10,Team,123,3,,9,7,1,0,0.778,0.778,1.556,262.916,0,3,3,1,0
´«²É,Team,108,3,,7,1,0,0,0.143,0.25,0.143,61.346,0,4,2,0.5,0
ÆíÇÏºñ_,Team,,3,,4,2,0,0,0.5,0.5,0.75,67.65,0,0,0,0,0
CVPileMaki,Team,,3,,8,1,0,0,0.125,0.125,0.125,41.522,,,,,
HANA_ARASHI,Team,101,3,¸íÀå/´Ù½Â¿Õ,5,3,2,0,0.6,0.6,2,159.556,27,1.67,1,3.6,17.544
Pring__,Team,102,3,,4,1,0,0,0.25,0.25,0.25,32.931,0,1.33,0,0,0
ÇÏ·ç£¨Haru£©,Team,,4,,11,6,1,0,0.545,0.583,0.909,233.869,,,,,
Roscosmos,Team,131,4,,4,2,0,0,0.5,0.5,0.75,67.65,5.4,1.67,3,1.8,87.719
mochi_2929,Team,136,5,,13,5,0,0,0.385,0.385,0.462,159.998,,,,,
ªæªÃªÁìé,Team,119,5,âÏêÈöèíº,9,2,0,0,0.222,0.222,0.444,88.769,0,6,6,0.833,0
ª¢ªªª¤ªÌ,Team,149,6,,8,2,0,0,0.25,0.25,0.5,86.621,1.42,6.33,3,1.105,333.333
_°­ µµ_,KR,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3Ducks,KR,,,,0,0,0,0,0,0,0,0,,,,,
°ÐºØÀÌ a049,KR,,,,0,0,0,0,0,0,0,0,,,,,
½Å°úÇÔ²²1,KR,,,,0,0,0,0,0,0,0,0,,,,,
Æ÷ ¸Þ ¶ó ´Ï ¾È,KR,110,,WHIP¿Õ,0,0,0,0,0,0,0,0,0,0,0,0,0
ChoiKatz,KR,,,,0,0,0,0,0,0,0,0,,,,,
jdw4469,KR,,,,4,0,0,0,0,0,0,8.591,,,,,
k@ster,KR,,,,0,0,0,0,0,0,0,0,,,,,
murumuru0219,KR,,,,0,0,0,0,0,0,0,0,,,,,
wiger-tiger,KR,,,,0,0,0,0,0,0,0,0,,,,,
yun_x,KR,138,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ªÈª­ªáª­,KR,115,,Å¸°Ý¿Õ/Ãâ·ç¿Õ,0,0,0,0,0,0,0,0,0,0,0,0,0
D_arling,Team,,2,,3,0,0,1,0,0,0,6.444,,,,,
Gonyong,Team,104,2,,12,5,0,1,0.417,0.417,0.583,168.23,0,0,0,0,0
magimari,Team,,3,,3,1,0,1,0.333,0.333,0.333,30.783,,,,,
Apple_Sherbet,Team,142,4,ÃÖ¿ì¼ö Åõ¼ö/´Ù½Â¿Õ,14,3,3,1,0.214,0.267,0.857,222.334,7.56,8.33,9,1.44,62.657
Flor?,Team,128,4,,12,2,0,1,0.167,0.167,0.25,84.833,1.5,6,5,0.5,315.789
Ë£Ýìå¯?÷¼,Team,137,6,õÌÍÔõó?áã/õÌÒý??,7,2,0,1,0.286,0.286,0.429,74.093,8.22,7.67,7,1.826,57.644
Pugeuk,KR,,,,4,1,0,1,0.25,0.25,0.25,32.931,,,,,
559£º?Í±,JP,,5,,14,6,1,1,0.428,0.4,0.714,,4.5,2,,1,144.212
Azuner,JP,,5,,19,4,,1,0.21,0.25,0.316,,9,5,3,4.8,71.387
KFC_IS_MY_LIFE,JP,,5,,14,3,,1,0.214,0.266,0.214,,9,5,,2,71.387
SFIDA,JP,,6,,14,4,1,1,0.285,0.285,0.643,,0,3,2,2,0
tsubasa_jp,JP,,,,11,3,,1,0.272,0.333,0.364,,0,0,0,0,0
ª¢ª¯ª»ªë,JP,139,,,30,10,1,1,0.333,0.375,0.467,,0,0,0,0,0
AKASATA,JP,,,,12,3,,1,0.25,0.25,0.25,,0,2,1,1.5,0
kaferu,JP,,,,3,3,,1,1,1,1,,5.4,5,1,2.6,120.177
CVpile,JP,,,,4,2,,1,0.5,0.5,0.5,,0,0,0,0,0
_¾ÚÇÁ_,Team,,1,,11,0,0,2,0,0,0,23.626,,,,,
ke ro,Team,107,1,,8,1,0,2,0.125,0.222,0.125,63.494,,,,,
«ì«Ó«Î«¢,Team,148,1,,5,1,0,2,0.2,0.2,0.2,35.078,12,3,0,2,39.474
mungjungh,Team,140,3,,8,0,0,2,0,0.111,0,38.301,,,,,
¿À¶ò__,Team,111,4,,11,4,0,2,0.364,0.417,0.636,173.076,,,,,
muyang_,Team,116,4,,10,3,0,2,0.3,0.462,0.3,160.411,3.86,2.33,0,1.714,122.807
Penguin_iDOL,Team,,4,,8,5,0,2,0.625,0.625,0.625,138.879,,,,,
--ªáª¤--,JP,,5,,14,2,,2,0.142,0.142,0.143,,0,0,0,0,0
??ªÎ?úµ,JP,130,5,,15,6,1,2,0.4,0.47,0.867,,3.6,5,1,1.8,178.466
ªÊªª£ð--,JP,,5,õÌÒýÜâ?öè/õÌÒýäÌöè,20,9,,2,0.45,0.45,0.7,,0,4,,0.5,0
Fresh825,JP,125,6,,12,5,,2,0.416,0.461,0.417,,4.5,6,1,2.166,144.212
shimenawa,JP,,6,,16,9,1,2,0.562,0.666,1.313,,0,0,0,0,0
Ð¡?¡¡ëÀ,JP,,,,12,4,,2,0.333,0.466,0.5,,11,9,1,3.333,58.996
bdg,JP,,,,3,3,,2,1,1,1,,18,2,2,6,36.053
megu,JP,,,,19,14,,2,0.736,0.736,1.105,,0,0,0,0,0
Áï¼®Ä«·¹,Team,,3,,7,3,0,3,0.429,0.5,0.429,110.024,,,,,
Espress¥ï,Team,112,3,MVP/µæÁ¡¿Õ/ÀåÅ¸¿Õ/´Ù½Â¿Õ/Å»»ïÁø¿Õ/¼¼ÀÌºê¿Õ,7,2,0,3,0.286,0.444,0.429,117.183,1.5,6,6,1,315.789
D¥ïpi,Team,117,4,,11,2,0,3,0.182,0.25,0.273,103.803,,,,,
TaeGeuk_,Team,,4,,10,2,0,3,0.2,0.2,0.2,70.157,6.23,4.33,3,1.385,76.023
ªËªãªóª³3K,JP,,5,õÌÒýöèïÃ,13,5,,3,0.384,0.47,0.462,,9,11,4,6.09,71.387
keiraiden,JP,124,,,28,15,1,3,0.535,0.535,0.679,,2.77,13,4,4.846,232.025
-Alta-,Team,121,3,,10,5,1,4,0.5,0.5,0.9,186.264,,,,,
Slaris,Team,103,4,,12,2,2,4,0.167,0.167,0.667,139.871,3.86,2.33,0,1.714,122.807
P0TA0,JP,,6,,22,12,,4,0.545,0.583,0.636,,9,2,,2.5,72.106
ÙÖêÅ,JP,,,,17,10,1,4,0.588,0.611,1.235,,6.43,7,4,4.857,100.958
sanojpn,JP,,,,9,7,1,5,0.777,0.8,1.222,,0,0,0,0,0
ªïª«ªÊªÇ,JP,135,6,õÌéÐâ³÷áâ¢,15,6,,15,0.4,0.55,0.4,,9,8,10,11.75,71.387
Megu3568,JP,,5,,,,,,,,,,,,,,
¡¸yune¡¹,JP,145,6,,,,,,,,,,,,,,
«¢«Ñ«à??ªòò¥ªÃªÆ?ª¤,JP,,6,,,,,,,,,,,,,,
_AKASATA_,JP,146,,,,,,,,,,,,,,,
bdg06213,JP,122,,MVP,,,,,,,,,,,,,
iRFsA,JP,114,,,,,,,,,,,,,,,
IbikiKai_JP,JP,151,,,,,,,,,,,,,,,
