date,home_team,away_team,home_score,away_score,time
2025-07-18,MoonShot Spirits,Ishikawa Fighting Folks,11,1,22:00
2025-07-19,Nyanko Avengers,Florian T-Shirts,4,8,21:30
2025-07-20,Bubble Stars,Nyanko Avengers,4,3,21:30
2025-07-20,Florian T-Shirts,MoonShot Spirits,7,5,21:30
2025-07-23,Ishikawa Fighting Folks,Leroleros,10,6,22:00
2025-07-25,Leroleros,Nyanko Avengers,4,1,21:30
2025-07-25,Nyanko Avengers,Florian T-Shirts,5,16,21:30
2025-07-26,Nyanko Avengers,Ishikawa Fighting Folks,4,1,21:30
2025-07-26,Bubble Stars,MoonShot Spirits,3,4,21:30
2025-07-27,Ishikawa Fighting Folks,Florian T-Shirts,0,10,21:30
2025-07-27,MoonShot Spirits,Leroleros,4,8,21:30
2025-08-02,ALLSTARS,,,,
2025-08-08,Bubble Stars,Ishikawa Fighting Folks,,,21:30
2025-08-08,MoonShot Spirits,Florian T-Shirts,,,21:30
2025-08-09,Florian T-Shirts,Leroleros,,,21:30
2025-08-09,Nyanko Avengers,MoonShot Spirits,,,21:30
2025-08-10,Leroleros,Ishikawa Fighting Folks,,,21:30
2025-08-10,Nyanko Avengers,Bubble Stars,,,21:30
2025-08-15,Florian T-Shirts,Bubble Stars,,,21:30
2025-08-15,Nyanko Avengers,Leroleros,,,21:30
2025-08-16,Ishikawa Fighting Folks,Nyanko Avengers,,,21:30
2025-08-16,MoonShot Spirits,Bubble Stars,,,21:30
2025-08-17,Florian T-Shirts,Ishikawa Fighting Folks,,,21:30
2025-08-17,Leroleros,MoonShot Spirits,,,21:30
2025-08-22,Florian T-Shirts,Nyanko Avengers,,,21:30
2025-08-22,Ishikawa Fighting Folks,MoonShot Spirits,,,21:30
2025-08-23,Ishikawa Fighting Folks,Bubble Stars,,,21:30
2025-08-23,Leroleros,Florian T-Shirts,,,21:30
2025-08-24,MoonShot Spirits,Nyanko Avengers,,,21:30
2025-08-24,Bubble Stars,Leroleros,,,21:30
2025-08-29,PostSeason,,,,
2025-08-30,PostSeason,,,,
2025-08-30,PostSeason,,,,
2025-09-05,PostSeason,,,,
2025-09-06,PostSeason,,,,
2025-09-07,PostSeason,,,,
